Month,Academic_Phase,Location_Zone,Business_Category,Competitor_Density,Base_Footfall_Index,Demand_Volume,Location_Suitability_Score
9,Holidays,Obanla,POS/Fintech,14,0.169,20,7.84
12,Holidays,South Gate,Stationery/Printing,9,0.171,7,46.81
7,Mid-Semester,South Gate,Electronics,5,0.813,125,64.74
9,Exams,South Gate,Electronics,13,0.76,52,43.32
8,Exams,South Gate,Fast Food,9,0.798,368,61.14
12,Holidays,South Gate,Fashion,9,0.155,13,34.29
2,Resumption,South Gate,Stationery/Printing,20,0.828,192,19.73
1,Holidays,West Gate,Fashion,4,0.1,10,24.17
7,Mid-Semester,South Gate,POS/Fintech,17,0.773,326,30.31
7,Mid-Semester,South Gate,Fast Food,20,0.861,347,13.03
8,Exams,South Gate,Electronics,8,0.763,71,60.29
5,Holidays,Obanla,Fast Food,8,0.24,42,35.57
3,Mid-Semester,South Gate,Electronics,16,0.819,100,36.52
12,Holidays,Apatapiti,Fast Food,7,0.22,44,34.07
8,Exams,West Gate,Electronics,0,0.335,33,27.75
6,Resumption,South Gate,Fashion,14,0.947,343,46.42
11,Holidays,North Gate,Fashion,3,0.13,12,42.17
3,Mid-Semester,South Gate,Fashion,9,0.884,180,59.26
1,Resumption,Obanla,Fashion,8,0.676,264,46.95
3,Exams,North Gate,Fast Food,6,0.479,286,45.52
5,Exams,South Gate,Electronics,4,0.869,83,73.28
3,Mid-Semester,South Gate,Fashion,15,0.889,186,37.19
1,Holidays,Obanla,Fast Food,16,0.183,31,2.53
5,Holidays,North Gate,Electronics,2,0.191,6,40.18
10,Resumption,South Gate,Fast Food,20,0.815,321,18.91
7,Mid-Semester,Obanla,Fashion,13,0.828,219,39.8
7,Mid-Semester,Obanla,POS/Fintech,15,0.811,472,32.34
11,Holidays,Apatapiti,Fast Food,5,0.132,21,44.7
9,Exams,South Gate,Fashion,9,0.784,118,58.1
10,Holidays,Apatapiti,Stationery/Printing,6,0.129,7,29.34
10,Holidays,Obanla,Electronics,5,0.227,7,44.33
12,Holidays,South Gate,Fashion,14,0.28,20,9.44
3,Mid-Semester,Obanla,Stationery/Printing,7,0.803,248,65.85
7,Mid-Semester,North Gate,Fast Food,5,0.429,282,48.5
1,Resumption,West Gate,Fast Food,0,0.234,138,34.34
4,Mid-Semester,South Gate,Stationery/Printing,11,0.884,294,57.86
4,Exams,Obanla,Stationery/Printing,10,0.774,518,42.61
5,Exams,North Gate,Electronics,5,0.49,43,49.23
7,Mid-Semester,West Gate,Fast Food,4,0.376,222,30.96
7,Mid-Semester,South Gate,Stationery/Printing,11,0.755,286,64.39
11,Holidays,West Gate,POS/Fintech,5,0.1,15,22.59
4,Mid-Semester,West Gate,POS/Fintech,6,0.371,222,29.19
7,Mid-Semester,South Gate,Stationery/Printing,10,0.867,285,62.93
11,Holidays,Apatapiti,Electronics,10,0.11,2,16.67
3,Mid-Semester,West Gate,Fast Food,4,0.339,208,33.09
6,Resumption,South Gate,POS/Fintech,12,0.772,599,49.38
12,Holidays,North Gate,Stationery/Printing,10,0.102,5,31.68
2,Resumption,Obanla,Stationery/Printing,14,0.596,224,19.06
10,Holidays,South Gate,Fashion,9,0.247,24,40.01
9,Exams,South Gate,Stationery/Printing,15,0.753,455,43.53
5,Exams,South Gate,Electronics,7,0.915,85,74.86
6,Resumption,South Gate,POS/Fintech,19,0.676,443,11.18
12,Holidays,North Gate,Fashion,8,0.128,12,29.3
12,Holidays,South Gate,POS/Fintech,20,0.25,22,0.0
12,Resumption,Apatapiti,POS/Fintech,10,0.489,393,33.2
12,Resumption,Obanla,Electronics,14,0.64,134,27.45
4,Exams,South Gate,Stationery/Printing,13,0.85,625,46.83
11,Holidays,Obanla,Electronics,10,0.14,4,25.26
10,Holidays,Obanla,Stationery/Printing,7,0.284,14,38.09
7,Mid-Semester,West Gate,Fashion,3,0.303,96,27.34
12,Holidays,South Gate,Electronics,11,0.192,5,17.7
9,Exams,South Gate,Electronics,10,0.889,72,59.26
7,Mid-Semester,West Gate,Fast Food,7,0.247,156,17.78
1,Resumption,West Gate,Electronics,0,0.356,104,30.76
1,Holidays,Obanla,Fast Food,11,0.138,20,24.6
9,Exams,Apatapiti,Stationery/Printing,7,0.633,433,47.08
11,Holidays,South Gate,Stationery/Printing,12,0.306,15,31.53
9,Exams,Obanla,Stationery/Printing,9,0.707,496,42.64
4,Mid-Semester,South Gate,Fast Food,20,0.845,371,21.51
9,Exams,South Gate,Stationery/Printing,15,0.793,508,41.1
3,Mid-Semester,Apatapiti,POS/Fintech,20,0.561,266,0.0
7,Mid-Semester,South Gate,Electronics,11,0.854,114,46.87
6,Mid-Semester,North Gate,Fast Food,8,0.545,346,38.11
8,Exams,West Gate,Stationery/Printing,2,0.314,303,24.78
11,Holidays,South Gate,POS/Fintech,17,0.238,29,14.6
9,Exams,West Gate,Electronics,0,0.248,25,29.72
5,Holidays,West Gate,Electronics,1,0.1,4,24.38
1,Resumption,Obanla,Stationery/Printing,6,0.763,324,62.45
3,Mid-Semester,South Gate,POS/Fintech,11,0.783,457,58.88
10,Holidays,South Gate,Fast Food,16,0.205,32,11.48
12,Holidays,North Gate,Stationery/Printing,3,0.163,10,45.84
8,Exams,South Gate,Electronics,10,0.884,67,52.44
11,Resumption,South Gate,Electronics,9,0.766,209,53.04
6,Resumption,West Gate,Electronics,1,0.284,87,24.12
8,Exams,South Gate,Stationery/Printing,9,0.784,573,65.84
9,Exams,Obanla,Fashion,7,0.799,138,60.1
4,Exams,South Gate,Fashion,9,0.876,127,57.53
1,Holidays,Obanla,Fashion,6,0.137,12,34.95
1,Resumption,West Gate,POS/Fintech,4,0.303,286,29.95
10,Holidays,South Gate,Stationery/Printing,11,0.207,8,39.84
4,Exams,South Gate,Electronics,8,0.823,71,58.44
12,Holidays,Obanla,POS/Fintech,11,0.147,17,29.83
7,Exams,Obanla,Fashion,9,0.615,93,44.75
2,Mid-Semester,Obanla,Fast Food,11,0.695,408,35.25
3,Mid-Semester,South Gate,POS/Fintech,12,0.822,537,49.21
1,Resumption,South Gate,POS/Fintech,20,0.74,462,18.49
5,Exams,West Gate,Stationery/Printing,5,0.168,167,23.91
1,Holidays,West Gate,POS/Fintech,7,0.1,12,16.76
8,Mid-Semester,North Gate,Stationery/Printing,5,0.43,154,58.5
1,Holidays,Apatapiti,Fast Food,13,0.148,23,13.28
11,Holidays,North Gate,Electronics,1,0.1,4,38.66
1,Holidays,North Gate,Electronics,4,0.1,3,38.34
2,Resumption,South Gate,Fashion,12,0.763,295,37.12
2,Resumption,North Gate,Fashion,3,0.44,160,53.38
12,Holidays,Obanla,Fast Food,14,0.192,24,14.31
6,Resumption,South Gate,Electronics,6,0.845,232,63.21
7,Exams,North Gate,Fashion,4,0.51,84,50.44
5,Holidays,Apatapiti,POS/Fintech,12,0.249,37,23.22
1,Resumption,Obanla,Stationery/Printing,14,0.66,248,23.83
1,Holidays,Obanla,Fashion,8,0.151,12,29.55
3,Mid-Semester,West Gate,Fast Food,5,0.323,234,25.77
2,Resumption,South Gate,Electronics,9,0.858,222,52.21
5,Exams,Obanla,Fast Food,8,0.657,388,49.59
12,Holidays,Apatapiti,Stationery/Printing,9,0.22,11,32.27
10,Holidays,Obanla,Stationery/Printing,8,0.211,10,34.35
6,Resumption,South Gate,Fast Food,13,0.743,392,35.85
7,Mid-Semester,South Gate,Fashion,11,0.925,261,50.95
4,Exams,Apatapiti,Fashion,9,0.51,79,38.47
7,Mid-Semester,North Gate,Electronics,2,0.533,105,55.85
11,Holidays,Apatapiti,Electronics,3,0.141,5,33.93
8,Mid-Semester,Obanla,POS/Fintech,13,0.806,507,44.3
11,Holidays,Obanla,POS/Fintech,6,0.204,30,48.76
1,Holidays,Apatapiti,Electronics,5,0.205,7,40.53
6,Resumption,Obanla,POS/Fintech,14,0.677,477,40.6
8,Exams,North Gate,Fast Food,7,0.453,252,40.27
5,Exams,Obanla,Fashion,4,0.708,119,60.48
4,Mid-Semester,Apatapiti,POS/Fintech,12,0.609,316,18.9
2,Resumption,North Gate,POS/Fintech,7,0.468,416,38.11
6,Resumption,North Gate,Fast Food,4,0.484,285,47.43
6,Resumption,South Gate,Stationery/Printing,16,0.766,202,27.68
11,Holidays,West Gate,Electronics,1,0.109,4,28.0
1,Holidays,South Gate,Fast Food,20,0.323,43,0.82
9,Exams,Obanla,Stationery/Printing,13,0.676,487,29.07
12,Holidays,North Gate,Fast Food,6,0.175,30,30.64
11,Holidays,North Gate,Fashion,3,0.1,9,39.0
6,Resumption,Obanla,Fast Food,15,0.628,310,26.99
3,Mid-Semester,South Gate,Fast Food,13,0.922,466,54.84
4,Exams,Obanla,Fashion,14,0.667,83,26.24
12,Holidays,Apatapiti,Electronics,4,0.149,6,40.56
11,Holidays,Apatapiti,Stationery/Printing,6,0.11,6,33.02
4,Exams,South Gate,POS/Fintech,13,0.928,472,50.21
3,Mid-Semester,Apatapiti,Electronics,6,0.599,101,52.59
10,Holidays,Obanla,Fast Food,13,0.132,22,14.91
3,Mid-Semester,Apatapiti,POS/Fintech,6,0.557,395,47.41
3,Mid-Semester,North Gate,Fashion,5,0.606,170,52.25
4,Exams,Obanla,Electronics,8,0.702,60,48.89
7,Mid-Semester,West Gate,Stationery/Printing,3,0.296,108,31.21
4,Exams,Apatapiti,Electronics,9,0.644,51,41.53
9,Holidays,North Gate,Electronics,3,0.189,6,38.24
1,Resumption,South Gate,POS/Fintech,17,0.721,415,28.58
8,Exams,North Gate,Fashion,6,0.435,63,40.15
7,Mid-Semester,North Gate,Fashion,6,0.472,156,47.54
2,Mid-Semester,South Gate,Electronics,6,0.834,145,73.57
8,Exams,South Gate,Fashion,14,0.849,129,38.42
1,Resumption,Apatapiti,POS/Fintech,8,0.536,420,37.99
11,Holidays,South Gate,POS/Fintech,8,0.197,26,49.5
12,Holidays,Obanla,Stationery/Printing,10,0.188,9,19.13
9,Exams,South Gate,Fashion,16,0.779,79,26.97
9,Holidays,South Gate,Stationery/Printing,9,0.29,11,57.96
2,Resumption,South Gate,Fast Food,12,0.73,391,41.53
7,Mid-Semester,South Gate,POS/Fintech,20,0.851,357,18.99
10,Holidays,Apatapiti,Electronics,6,0.181,5,33.96
3,Mid-Semester,Apatapiti,POS/Fintech,15,0.634,363,10.22
7,Mid-Semester,South Gate,Fast Food,16,0.831,407,29.58
12,Holidays,North Gate,Electronics,4,0.18,6,39.92
10,Holidays,North Gate,Fashion,2,0.232,20,50.06
9,Exams,Apatapiti,Fashion,10,0.66,87,37.52
4,Exams,Apatapiti,POS/Fintech,13,0.446,219,20.59
12,Holidays,Obanla,Electronics,5,0.183,6,47.25
1,Holidays,Obanla,Electronics,11,0.154,5,20.28
2,Mid-Semester,Apatapiti,Stationery/Printing,10,0.628,207,27.32
1,Holidays,South Gate,Fast Food,12,0.265,38,35.23
12,Holidays,North Gate,Fashion,7,0.1,9,32.12
5,Exams,West Gate,POS/Fintech,4,0.328,249,31.11
5,Exams,Obanla,Electronics,8,0.711,61,45.26
11,Holidays,Obanla,Fashion,8,0.174,17,25.76
7,Mid-Semester,Obanla,POS/Fintech,12,0.776,428,39.87
9,Exams,South Gate,Fashion,14,0.8,98,31.75
9,Exams,Obanla,POS/Fintech,14,0.769,375,37.88
3,Mid-Semester,Obanla,Fashion,11,0.73,207,38.05
3,Mid-Semester,North Gate,Stationery/Printing,6,0.567,209,58.72
3,Mid-Semester,Obanla,Fast Food,20,0.749,339,10.93
4,Mid-Semester,Apatapiti,Fashion,5,0.481,116,54.57
8,Mid-Semester,South Gate,Fast Food,19,0.81,327,17.33
6,Resumption,North Gate,Fashion,2,0.445,199,44.4
8,Mid-Semester,North Gate,Electronics,3,0.518,104,49.42
1,Resumption,Obanla,Stationery/Printing,9,0.67,250,47.36
8,Mid-Semester,South Gate,Stationery/Printing,16,0.815,271,40.37
4,Exams,Obanla,Fast Food,15,0.802,316,34.01
11,Resumption,Apatapiti,Electronics,1,0.61,183,55.07
1,Holidays,North Gate,POS/Fintech,8,0.1,14,25.31
8,Mid-Semester,West Gate,Stationery/Printing,3,0.258,92,34.61
4,Exams,West Gate,Electronics,1,0.301,32,35.04
6,Resumption,South Gate,Electronics,9,0.757,184,45.97
8,Exams,South Gate,Fast Food,15,0.671,259,30.79
4,Mid-Semester,West Gate,Electronics,1,0.264,37,29.4
3,Mid-Semester,West Gate,Electronics,0,0.337,54,28.31
9,Holidays,South Gate,POS/Fintech,17,0.218,26,16.0
3,Mid-Semester,South Gate,Fast Food,16,0.803,382,26.07
9,Exams,South Gate,Fast Food,20,0.78,335,14.39
2,Resumption,West Gate,Electronics,1,0.259,75,35.8
2,Resumption,South Gate,POS/Fintech,19,0.893,557,22.25
2,Resumption,Obanla,Fashion,13,0.677,262,29.06
6,Mid-Semester,Apatapiti,Stationery/Printing,12,0.564,168,26.2
3,Mid-Semester,South Gate,Fast Food,13,0.94,594,45.2
9,Exams,Obanla,POS/Fintech,15,0.741,387,29.13
4,Mid-Semester,South Gate,POS/Fintech,19,0.81,350,24.06
1,Resumption,Apatapiti,Electronics,7,0.541,122,45.98
4,Exams,South Gate,Stationery/Printing,17,0.798,396,35.58
1,Holidays,Obanla,Fast Food,5,0.215,37,46.16
5,Holidays,Obanla,Fashion,7,0.125,9,27.38
4,Mid-Semester,South Gate,Electronics,8,0.79,140,61.56
8,Exams,South Gate,Fast Food,18,0.795,404,28.31
8,Exams,North Gate,Fast Food,8,0.431,197,45.96
7,Mid-Semester,South Gate,POS/Fintech,20,0.901,426,34.55
3,Mid-Semester,Apatapiti,Stationery/Printing,11,0.549,137,34.76
1,Resumption,Apatapiti,Fashion,6,0.66,283,47.46
1,Holidays,North Gate,Stationery/Printing,7,0.117,6,37.83
12,Holidays,Obanla,POS/Fintech,15,0.194,23,14.87
11,Holidays,Obanla,Fashion,8,0.205,18,34.53
3,Mid-Semester,Apatapiti,Fashion,4,0.596,179,53.69
6,Mid-Semester,North Gate,Electronics,4,0.559,92,58.36
7,Mid-Semester,South Gate,Fashion,16,0.857,218,26.5
6,Resumption,South Gate,Fast Food,20,0.739,282,14.26
6,Resumption,Obanla,Stationery/Printing,15,0.607,228,19.05
6,Resumption,North Gate,Stationery/Printing,2,0.47,201,63.87
3,Mid-Semester,North Gate,Electronics,4,0.546,87,54.81
6,Resumption,South Gate,Fashion,11,0.702,197,39.63
8,Exams,Obanla,POS/Fintech,8,0.693,502,46.55
11,Resumption,South Gate,Fast Food,9,0.813,347,58.1
11,Holidays,South Gate,Electronics,6,0.17,6,45.45
2,Resumption,North Gate,Fashion,4,0.407,177,49.73
5,Holidays,South Gate,POS/Fintech,9,0.205,29,39.22
1,Holidays,Obanla,Fashion,14,0.253,17,11.52
12,Holidays,North Gate,Electronics,3,0.171,6,41.56
1,Holidays,North Gate,POS/Fintech,11,0.191,25,12.53
5,Exams,Obanla,POS/Fintech,13,0.663,325,36.05
12,Holidays,South Gate,POS/Fintech,18,0.18,15,0.0
3,Mid-Semester,South Gate,POS/Fintech,14,0.841,493,36.1
4,Exams,Apatapiti,Fashion,7,0.555,88,48.81
3,Mid-Semester,North Gate,POS/Fintech,5,0.461,308,49.43
1,Holidays,North Gate,Fashion,2,0.149,14,39.36
1,Holidays,South Gate,POS/Fintech,19,0.131,15,0.6
12,Holidays,North Gate,POS/Fintech,8,0.132,16,26.98
12,Holidays,Obanla,Electronics,8,0.271,7,43.05
5,Exams,Obanla,Fashion,11,0.716,97,43.92
6,Mid-Semester,Obanla,Fashion,10,0.708,191,43.68
3,Mid-Semester,South Gate,Stationery/Printing,9,0.786,246,72.59
12,Holidays,South Gate,Electronics,10,0.231,7,30.22
9,Exams,Apatapiti,Fashion,8,0.657,92,48.35
5,Exams,West Gate,Electronics,1,0.296,30,29.74
8,Mid-Semester,South Gate,Electronics,7,0.833,151,63.87
1,Resumption,North Gate,Electronics,2,0.412,143,52.6
5,Exams,South Gate,Fast Food,20,0.734,311,14.06
3,Mid-Semester,South Gate,Fashion,13,0.864,170,41.9
12,Holidays,South Gate,Electronics,12,0.132,4,20.12
1,Holidays,South Gate,Fast Food,17,0.258,38,13.74
4,Exams,Obanla,Fast Food,16,0.744,337,24.93
5,Holidays,Obanla,POS/Fintech,9,0.177,23,33.32
7,Mid-Semester,South Gate,POS/Fintech,20,0.882,390,21.16
1,Resumption,South Gate,Fashion,16,0.774,268,30.76
3,Mid-Semester,Apatapiti,POS/Fintech,10,0.632,368,38.05
2,Resumption,South Gate,Fashion,8,0.81,280,58.42
9,Exams,Obanla,Fast Food,15,0.7,297,23.89
10,Holidays,South Gate,Fast Food,16,0.148,19,6.48
6,Resumption,Obanla,Fashion,9,0.788,287,49.02
10,Resumption,South Gate,POS/Fintech,14,0.754,446,40.56
3,Mid-Semester,South Gate,POS/Fintech,17,0.829,403,28.6
8,Mid-Semester,South Gate,Fashion,13,0.872,268,44.82
8,Mid-Semester,South Gate,Stationery/Printing,14,0.84,246,43.63
2,Mid-Semester,North Gate,POS/Fintech,5,0.437,321,44.18
6,Resumption,Obanla,Electronics,9,0.615,129,42.24
7,Mid-Semester,South Gate,POS/Fintech,16,0.805,449,36.54
2,Resumption,South Gate,Stationery/Printing,9,0.783,354,60.23
11,Holidays,Obanla,Fast Food,15,0.153,21,8.06
10,Holidays,Obanla,Fast Food,10,0.234,32,28.96
2,Mid-Semester,West Gate,Fast Food,4,0.292,204,27.41
10,Holidays,Obanla,POS/Fintech,14,0.184,25,15.9
1,Resumption,North Gate,Fast Food,8,0.453,230,38.72
8,Mid-Semester,Obanla,Stationery/Printing,17,0.698,203,13.97
1,Holidays,West Gate,Stationery/Printing,3,0.139,8,34.84
9,Exams,Apatapiti,POS/Fintech,9,0.586,269,39.77
11,Holidays,South Gate,Electronics,10,0.204,6,31.27
6,Mid-Semester,South Gate,POS/Fintech,13,0.824,453,46.13
7,Exams,South Gate,Fast Food,13,0.78,373,40.78
10,Holidays,Obanla,POS/Fintech,11,0.13,17,30.09
7,Mid-Semester,Obanla,Stationery/Printing,13,0.683,218,23.06
10,Holidays,Obanla,POS/Fintech,20,0.121,13,0.0
3,Mid-Semester,South Gate,POS/Fintech,16,0.903,549,42.76
2,Mid-Semester,Obanla,Electronics,11,0.712,103,37.95
9,Exams,Apatapiti,Stationery/Printing,7,0.516,448,47.18
8,Exams,South Gate,Fashion,13,0.872,123,39.87
12,Resumption,Obanla,Fashion,4,0.678,318,61.86
10,Holidays,North Gate,Stationery/Printing,5,0.1,6,48.04
7,Exams,Apatapiti,Fashion,4,0.599,93,52.98
9,Exams,Apatapiti,Fast Food,8,0.643,348,50.86
4,Exams,Obanla,Fashion,17,0.746,68,13.75
4,Mid-Semester,Obanla,Fast Food,16,0.757,408,26.1
1,Holidays,Apatapiti,Stationery/Printing,8,0.173,9,37.11
8,Mid-Semester,North Gate,Fashion,6,0.56,174,50.02
12,Holidays,South Gate,Fashion,15,0.299,23,17.31
3,Mid-Semester,Apatapiti,Fast Food,12,0.552,332,32.47
7,Exams,South Gate,Fast Food,11,0.809,410,43.89
12,Holidays,North Gate,POS/Fintech,7,0.155,24,29.55
2,Resumption,Apatapiti,Electronics,6,0.549,144,53.2
2,Mid-Semester,Obanla,Fashion,9,0.776,220,43.92
7,Mid-Semester,North Gate,Electronics,3,0.61,96,55.16
6,Resumption,South Gate,Electronics,9,0.752,159,61.34
3,Mid-Semester,North Gate,Fashion,5,0.429,117,43.0
9,Exams,South Gate,Fast Food,20,0.9,348,23.6
10,Holidays,South Gate,POS/Fintech,14,0.301,33,21.58
6,Mid-Semester,Obanla,Stationery/Printing,9,0.777,230,50.97
10,Holidays,South Gate,Fashion,20,0.188,10,0.0
10,Holidays,North Gate,Fashion,8,0.168,14,29.61
6,Resumption,North Gate,Stationery/Printing,9,0.452,198,38.57
1,Holidays,West Gate,Electronics,0,0.1,3,30.7
4,Exams,North Gate,POS/Fintech,11,0.441,241,21.11
10,Holidays,South Gate,Electronics,15,0.212,5,3.66
6,Resumption,South Gate,Stationery/Printing,20,0.792,227,16.31
6,Resumption,Obanla,Stationery/Printing,11,0.683,239,34.07
11,Resumption,Obanla,POS/Fintech,11,0.719,539,49.69
